sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen	sampling	migration
1	500	1	0.2	brownian	1	1	1000	present	stationary
2	500	1	0.2	brownian	1	2	1000	present	stationary
3	500	1	0.2	brownian	1	3	1000	present	stationary
4	500	1	0.2	brownian	1	1	1000	ancient	stationary
5	500	1	0.2	brownian	1	2	1000	ancient	stationary
6	500	1	0.2	brownian	1	3	1000	ancient	stationary
7	500	1	0.2	brownian	1	1	1000	staggered	stationary
8	500	1	0.2	brownian	1	2	1000	staggered	stationary
9	500	1	0.2	brownian	1	3	1000	staggered	stationary
10	500	1	0.2	brownian	1	1	1000	present	migrated
11	500	1	0.2	brownian	1	2	1000	present	migrated
12	500	1	0.2	brownian	1	3	1000	present	migrated
13	500	1	0.2	brownian	1	1	1000	ancient	migrated
14	500	1	0.2	brownian	1	2	1000	ancient	migrated
15	500	1	0.2	brownian	1	3	1000	ancient	migrated
16	500	1	0.2	brownian	1	1	1000	staggered	migrated
17	500	1	0.2	brownian	1	2	1000	staggered	migrated
18	500	1	0.2	brownian	1	3	1000	staggered	migrated
